time_utc,proxy,gauge,gauge_shifted
2025-11-30 02:20:00+00:00,,,17.69802912
2025-11-30 02:35:00+00:00,,,17.55644488704
2025-11-30 02:50:00+00:00,,,17.69802912
2025-11-30 03:05:00+00:00,,,17.69802912
2025-11-30 03:20:00+00:00,,,17.55644488704
2025-11-30 03:35:00+00:00,,,17.55644488704
2025-11-30 03:50:00+00:00,,,17.55644488704
2025-11-30 04:05:00+00:00,,,17.55644488704
2025-11-30 04:20:00+00:00,,,17.55644488704
2025-11-30 04:35:00+00:00,,,17.41486065408
2025-11-30 04:50:00+00:00,,,17.41486065408
2025-11-30 05:05:00+00:00,,,17.41486065408
2025-11-30 05:20:00+00:00,,,17.41486065408
2025-11-30 05:35:00+00:00,,,17.41486065408
2025-11-30 05:50:00+00:00,,,17.273276421120002
2025-11-30 06:05:00+00:00,,,17.41486065408
2025-11-30 06:20:00+00:00,,,17.273276421120002
2025-11-30 06:35:00+00:00,,,17.273276421120002
2025-11-30 06:50:00+00:00,,,17.273276421120002
2025-11-30 07:05:00+00:00,,,17.273276421120002
2025-11-30 07:20:00+00:00,,,17.273276421120002
2025-11-30 07:35:00+00:00,,,17.41486065408
2025-11-30 07:50:00+00:00,,,17.273276421120002
2025-11-30 08:05:00+00:00,,,17.273276421120002
2025-11-30 08:20:00+00:00,,,17.160009034752
2025-11-30 08:35:00+00:00,,,17.160009034752
2025-11-30 08:50:00+00:00,,,17.018424801792
2025-11-30 09:05:00+00:00,,,17.160009034752
2025-11-30 09:20:00+00:00,,,17.160009034752
2025-11-30 09:35:00+00:00,,,17.018424801792
2025-11-30 09:50:00+00:00,,,17.018424801792
2025-11-30 10:05:00+00:00,,,17.018424801792
2025-11-30 10:20:00+00:00,,,17.018424801792
2025-11-30 10:35:00+00:00,,,16.876840568832
2025-11-30 10:50:00+00:00,,,16.876840568832
2025-11-30 11:05:00+00:00,,,16.876840568832
2025-11-30 11:20:00+00:00,,,16.876840568832
2025-11-30 11:35:00+00:00,,,16.876840568832
2025-11-30 11:50:00+00:00,,,16.735256335872002
2025-11-30 12:05:00+00:00,,,16.876840568832
2025-11-30 12:20:00+00:00,,,16.876840568832
2025-11-30 12:35:00+00:00,,,16.876840568832
2025-11-30 12:50:00+00:00,,,16.735256335872002
2025-11-30 13:05:00+00:00,,,16.735256335872002
2025-11-30 13:20:00+00:00,,,16.735256335872002
2025-11-30 13:35:00+00:00,,,16.735256335872002
2025-11-30 13:50:00+00:00,,,16.735256335872002
2025-11-30 14:05:00+00:00,,,16.735256335872002
2025-11-30 14:20:00+00:00,,,16.735256335872002
2025-11-30 14:35:00+00:00,,,16.621988949504
2025-11-30 14:50:00+00:00,,,16.621988949504
2025-11-30 15:05:00+00:00,,,16.480404716544
2025-11-30 15:20:00+00:00,,,16.621988949504
2025-11-30 15:35:00+00:00,,,16.480404716544
2025-11-30 15:50:00+00:00,,,16.480404716544
2025-11-30 16:05:00+00:00,,,16.480404716544
2025-11-30 16:20:00+00:00,,,16.480404716544
2025-11-30 16:35:00+00:00,,,16.367137330176
2025-11-30 16:50:00+00:00,,,16.480404716544
2025-11-30 17:05:00+00:00,,,16.480404716544
2025-11-30 17:20:00+00:00,,,16.367137330176
2025-11-30 17:35:00+00:00,,,16.367137330176
2025-11-30 17:50:00+00:00,,,16.480404716544
2025-11-30 18:05:00+00:00,,,16.367137330176
2025-11-30 18:20:00+00:00,,,16.367137330176
2025-11-30 18:35:00+00:00,,,16.367137330176
