time_utc,proxy,gauge,gauge_shifted
2025-12-01 00:00:00+00:00,7.156447522940219e-15,17.41486065408,
2025-12-01 00:05:00+00:00,7.156447522940219e-15,,
2025-12-01 00:10:00+00:00,1.1186174241057651e-14,,
2025-12-01 00:15:00+00:00,1.4332875538491282e-14,17.216642727936,
2025-12-01 00:20:00+00:00,1.576116495528851e-14,,
2025-12-01 00:25:00+00:00,2.007502898397323e-14,,
2025-12-01 00:30:00+00:00,2.2585145161092788e-14,17.584761733632,
2025-12-01 00:35:00+00:00,2.0573214132743628e-14,,
2025-12-01 00:40:00+00:00,2.4676141844525833e-14,,
2025-12-01 00:45:00+00:00,2.6882433596056246e-14,17.41486065408,
2025-12-01 00:50:00+00:00,2.0947943099934502e-14,,
2025-12-01 00:55:00+00:00,2.2791636478307356e-14,,
2025-12-01 01:00:00+00:00,2.345399278549224e-14,17.41486065408,
2025-12-01 01:05:00+00:00,2.0129134092538704e-14,,
2025-12-01 01:10:00+00:00,2.2771853045401136e-14,,
2025-12-01 01:15:00+00:00,2.4310124560694844e-14,17.41486065408,
2025-12-01 01:20:00+00:00,2.2430132659210972e-14,,
2025-12-01 01:25:00+00:00,2.0554357894923418e-14,,
2025-12-01 01:30:00+00:00,2.155947318320205e-14,17.41486065408,
2025-12-01 01:35:00+00:00,2.2719590173046173e-14,,
2025-12-01 01:40:00+00:00,2.1771024769563806e-14,,
2025-12-01 01:45:00+00:00,2.4494173893870148e-14,17.216642727936,
2025-12-01 01:50:00+00:00,2.5404249377071054e-14,,
2025-12-01 01:55:00+00:00,2.2170032230461358e-14,,
2025-12-01 02:00:00+00:00,2.263063146247283e-14,17.216642727936,
2025-12-01 02:05:00+00:00,2.4693714988355148e-14,,
2025-12-01 02:10:00+00:00,2.4865813519570123e-14,,
2025-12-01 02:15:00+00:00,2.1880990444091268e-14,17.216642727936,
2025-12-01 02:20:00+00:00,1.6821964140653512e-14,,
2025-12-01 02:25:00+00:00,1.9908007822712804e-14,,
2025-12-01 02:30:00+00:00,2.047200422998478e-14,17.41486065408,
