time_utc,proxy,gauge,gauge_shifted
2025-12-01 00:00:00+00:00,1.1983247944185733e-16,13.903571676672,
2025-12-01 00:05:00+00:00,3.148896671380849e-16,,
2025-12-01 00:10:00+00:00,5.043854090241487e-16,,
2025-12-01 00:15:00+00:00,7.507438328146551e-16,13.903571676672,
2025-12-01 00:20:00+00:00,8.237177792250165e-16,,
2025-12-01 00:25:00+00:00,8.847409784635241e-16,,
2025-12-01 00:30:00+00:00,8.963061091109556e-16,13.903571676672,
2025-12-01 00:35:00+00:00,8.905450912332789e-16,,
2025-12-01 00:40:00+00:00,9.891968751486728e-16,,
2025-12-01 00:45:00+00:00,9.176743488725057e-16,13.59208636416,
2025-12-01 00:50:00+00:00,8.003029002439681e-16,,
2025-12-01 00:55:00+00:00,6.980290737825955e-16,,
2025-12-01 01:00:00+00:00,7.426495404550352e-16,13.73367059712,
2025-12-01 01:05:00+00:00,8.099651507340992e-16,,
2025-12-01 01:10:00+00:00,7.887818783184539e-16,,
2025-12-01 01:15:00+00:00,8.028329918504464e-16,13.903571676672,
2025-12-01 01:20:00+00:00,8.267180557741121e-16,,
2025-12-01 01:25:00+00:00,1.085156951986832e-15,,
2025-12-01 01:30:00+00:00,1.0132868715240606e-15,13.903571676672,
2025-12-01 01:35:00+00:00,6.53977805737765e-16,,
2025-12-01 01:40:00+00:00,6.448848538036688e-16,,13.903571676672
2025-12-01 01:45:00+00:00,7.593217871483006e-16,13.903571676672,
2025-12-01 01:50:00+00:00,8.373607843873262e-16,,
2025-12-01 01:55:00+00:00,8.761094877827066e-16,,13.903571676672
2025-12-01 02:00:00+00:00,1.056396643062506e-15,13.73367059712,
2025-12-01 02:05:00+00:00,9.139303551779871e-16,,
2025-12-01 02:10:00+00:00,8.594459178199891e-16,,13.903571676672
2025-12-01 02:15:00+00:00,8.761285476081124e-16,13.73367059712,
2025-12-01 02:20:00+00:00,8.725570818243331e-16,,
2025-12-01 02:25:00+00:00,7.198500539152164e-16,,13.59208636416
2025-12-01 02:30:00+00:00,6.98731557889738e-16,13.59208636416,
2025-12-01 02:35:00+00:00,6.837377820804285e-16,,
2025-12-01 02:40:00+00:00,6.42804084031563e-16,,13.73367059712
2025-12-01 02:45:00+00:00,6.962843826960814e-16,13.73367059712,
2025-12-01 02:50:00+00:00,7.954059608167509e-16,,
2025-12-01 02:55:00+00:00,8.009712680389794e-16,,13.903571676672
2025-12-01 03:00:00+00:00,8.241639578605118e-16,13.73367059712,
2025-12-01 03:05:00+00:00,8.203130044867499e-16,,
2025-12-01 03:10:00+00:00,7.753699519534308e-16,,13.903571676672
2025-12-01 03:15:00+00:00,6.379969569111564e-16,13.59208636416,
2025-12-01 03:20:00+00:00,8.56030523531261e-16,,
2025-12-01 03:25:00+00:00,8.845061802890947e-16,,13.903571676672
2025-12-01 03:30:00+00:00,6.558585361432814e-16,13.73367059712,
2025-12-01 03:35:00+00:00,6.74941475761289e-16,,
2025-12-01 03:40:00+00:00,7.662516666939638e-16,,13.73367059712
2025-12-01 03:45:00+00:00,7.235606393985097e-16,13.73367059712,
2025-12-01 03:50:00+00:00,6.946257851383933e-16,,
2025-12-01 03:55:00+00:00,7.747333367619085e-16,,13.73367059712
2025-12-01 04:00:00+00:00,7.212893724124801e-16,13.59208636416,
2025-12-01 04:05:00+00:00,7.630129857466175e-16,,
2025-12-01 04:10:00+00:00,7.491842523007982e-16,,13.59208636416
2025-12-01 04:15:00+00:00,5.50357899911073e-16,13.59208636416,
2025-12-01 04:20:00+00:00,5.27662014899604e-16,,
2025-12-01 04:25:00+00:00,5.674823149999623e-16,,13.73367059712
2025-12-01 04:30:00+00:00,6.753077989177776e-16,13.4505021312,
2025-12-01 04:35:00+00:00,6.606331778002855e-16,,
2025-12-01 04:40:00+00:00,6.189219486978183e-16,,13.73367059712
2025-12-01 04:45:00+00:00,6.38497031568474e-16,13.59208636416,
2025-12-01 04:50:00+00:00,6.570440622106014e-16,,
2025-12-01 04:55:00+00:00,7.228395688019369e-16,,13.59208636416
2025-12-01 05:00:00+00:00,6.911821792959004e-16,13.59208636416,
2025-12-01 05:05:00+00:00,6.366917940758103e-16,,
2025-12-01 05:10:00+00:00,6.494033279216536e-16,,13.73367059712
2025-12-01 05:15:00+00:00,6.599471875279578e-16,13.30891789824,
2025-12-01 05:20:00+00:00,6.404915367090628e-16,,
2025-12-01 05:25:00+00:00,5.884505643409138e-16,,13.73367059712
2025-12-01 05:30:00+00:00,6.120451183769437e-16,13.30891789824,
2025-12-01 05:35:00+00:00,6.479300765458497e-16,,
2025-12-01 05:40:00+00:00,1.0959139607177658e-15,,13.59208636416
2025-12-01 05:45:00+00:00,1.1117249781584505e-15,13.4505021312,
2025-12-01 05:50:00+00:00,5.790470626605677e-16,,
2025-12-01 05:55:00+00:00,5.273226909903198e-16,,13.59208636416
2025-12-01 06:00:00+00:00,6.271424575288542e-16,13.59208636416,
2025-12-01 06:05:00+00:00,7.365103412563711e-16,,
2025-12-01 06:10:00+00:00,7.074310820989447e-16,,13.4505021312
2025-12-01 06:15:00+00:00,7.339130967239192e-16,13.4505021312,
2025-12-01 06:20:00+00:00,6.031001597936931e-16,,
2025-12-01 06:25:00+00:00,5.162302628133253e-16,,13.59208636416
2025-12-01 06:30:00+00:00,5.925740219547091e-16,13.4505021312,
2025-12-01 06:35:00+00:00,6.8259163600768995e-16,,
2025-12-01 06:40:00+00:00,6.542971952130653e-16,,13.59208636416
