time_utc,proxy,gauge,gauge_shifted
2025-12-01 00:00:00+00:00,2.1955380659862482e-16,,
2025-12-01 00:05:00+00:00,2.1955380659862482e-16,,
2025-12-01 00:10:00+00:00,3.117444121947473e-16,,
2025-12-01 00:15:00+00:00,4.3952748639580094e-16,,
2025-12-01 00:20:00+00:00,5.292362176775087e-16,,
2025-12-01 00:25:00+00:00,5.360073376594641e-16,,
2025-12-01 00:30:00+00:00,5.130402585785709e-16,,
2025-12-01 00:35:00+00:00,5.238364146279513e-16,,
2025-12-01 00:40:00+00:00,5.544325713859318e-16,,
2025-12-01 00:45:00+00:00,5.688305523917886e-16,,
2025-12-01 00:50:00+00:00,5.95670332486083e-16,,
2025-12-01 00:55:00+00:00,5.797111332778248e-16,,
2025-12-01 01:00:00+00:00,5.40528642910069e-16,13.73367059712,
2025-12-01 01:05:00+00:00,5.458785759446942e-16,,
2025-12-01 01:10:00+00:00,5.335600905514667e-16,,
2025-12-01 01:15:00+00:00,5.098950381455134e-16,13.903571676672,
2025-12-01 01:20:00+00:00,5.183924557932572e-16,,
2025-12-01 01:25:00+00:00,6.751099550297801e-16,,
2025-12-01 01:30:00+00:00,6.490382112612504e-16,13.903571676672,
2025-12-01 01:35:00+00:00,6.229664674927205e-16,,
2025-12-01 01:40:00+00:00,5.061330672043472e-16,,
2025-12-01 01:45:00+00:00,5.2710312974583045e-16,13.903571676672,
2025-12-01 01:50:00+00:00,5.422902686623913e-16,,
2025-12-01 01:55:00+00:00,5.574774075789521e-16,,
2025-12-01 02:00:00+00:00,5.726645464955129e-16,13.73367059712,
2025-12-01 02:05:00+00:00,5.559452094585733e-16,,
2025-12-01 02:10:00+00:00,5.509084889528398e-16,,
2025-12-01 02:15:00+00:00,5.610707224935665e-16,13.73367059712,
2025-12-01 02:20:00+00:00,5.523270092929997e-16,,
2025-12-01 02:25:00+00:00,5.371490615317022e-16,,
2025-12-01 02:30:00+00:00,5.31710955894748e-16,13.59208636416,
2025-12-01 02:35:00+00:00,5.100814405962876e-16,,
2025-12-01 02:40:00+00:00,5.027887742332237e-16,,
2025-12-01 02:45:00+00:00,5.025408021024544e-16,13.73367059712,
2025-12-01 02:50:00+00:00,5.028192533955196e-16,,
2025-12-01 02:55:00+00:00,4.979697639316904e-16,,
2025-12-01 03:00:00+00:00,5.04969406746317e-16,13.73367059712,
2025-12-01 03:05:00+00:00,5.184939497196513e-16,,
2025-12-01 03:10:00+00:00,5.304392517938668e-16,,
2025-12-01 03:15:00+00:00,5.035593651854872e-16,13.59208636416,
2025-12-01 03:20:00+00:00,5.065652422647103e-16,,
2025-12-01 03:25:00+00:00,5.095711193439336e-16,,
2025-12-01 03:30:00+00:00,5.125769964231567e-16,13.73367059712,
2025-12-01 03:35:00+00:00,4.926379659685933e-16,,
2025-12-01 03:40:00+00:00,5.152088373386208e-16,,
2025-12-01 03:45:00+00:00,5.239294900011041e-16,13.73367059712,
2025-12-01 03:50:00+00:00,5.012733829120748e-16,,
2025-12-01 03:55:00+00:00,4.98601381125636e-16,,
2025-12-01 04:00:00+00:00,4.978803571616218e-16,13.59208636416,
2025-12-01 04:05:00+00:00,5.013562890886699e-16,,
2025-12-01 04:10:00+00:00,5.10850327208383e-16,,
2025-12-01 04:15:00+00:00,5.014445488329326e-16,13.59208636416,
2025-12-01 04:20:00+00:00,4.783165303945266e-16,,
2025-12-01 04:25:00+00:00,4.820443314776689e-16,,
2025-12-01 04:30:00+00:00,4.93586539313326e-16,13.4505021312,
2025-12-01 04:35:00+00:00,4.97859936791005e-16,,
2025-12-01 04:40:00+00:00,5.087780949397937e-16,,
2025-12-01 04:45:00+00:00,4.82627956188102e-16,13.59208636416,
2025-12-01 04:50:00+00:00,4.741002243239732e-16,,
2025-12-01 04:55:00+00:00,4.935365547839386e-16,,
2025-12-01 05:00:00+00:00,4.976319073295845e-16,13.59208636416,
2025-12-01 05:05:00+00:00,4.961452758711894e-16,,
2025-12-01 05:10:00+00:00,4.869585619809278e-16,,
2025-12-01 05:15:00+00:00,4.972005156549595e-16,13.30891789824,
2025-12-01 05:20:00+00:00,4.868937055413763e-16,,
2025-12-01 05:25:00+00:00,4.849117598446295e-16,,
2025-12-01 05:30:00+00:00,4.907585214510424e-16,13.30891789824,
2025-12-01 05:35:00+00:00,4.753331794182287e-16,,
2025-12-01 05:40:00+00:00,5.587986949761224e-16,,
2025-12-01 05:45:00+00:00,5.710788773693082e-16,13.4505021312,
2025-12-01 05:50:00+00:00,4.888510228689829e-16,,
2025-12-01 05:55:00+00:00,4.878310965875321e-16,,
2025-12-01 06:00:00+00:00,4.920518339260595e-16,13.59208636416,
2025-12-01 06:05:00+00:00,5.06456715515653e-16,,
2025-12-01 06:10:00+00:00,5.040663751360418e-16,,
2025-12-01 06:15:00+00:00,5.120911750790122e-16,13.4505021312,
2025-12-01 06:20:00+00:00,5.011810237889735e-16,,
2025-12-01 06:25:00+00:00,4.821701894190953e-16,,
2025-12-01 06:30:00+00:00,4.871194320143629e-16,13.4505021312,
2025-12-01 06:35:00+00:00,4.856767434076867e-16,,
2025-12-01 06:40:00+00:00,4.842340548010104e-16,,
2025-12-01 06:45:00+00:00,4.827913661943341e-16,13.4505021312,
2025-12-01 06:50:00+00:00,4.921346793273739e-16,,
2025-12-01 06:55:00+00:00,4.959576308270831e-16,,
2025-12-01 07:00:00+00:00,5.374482376840696e-16,13.4505021312,
2025-12-01 07:05:00+00:00,5.32955130236168e-16,,
2025-12-01 07:10:00+00:00,5.151947042639138e-16,,
2025-12-01 07:15:00+00:00,4.974342782916597e-16,13.4505021312,
2025-12-01 07:20:00+00:00,4.796738523194055e-16,,
2025-12-01 07:25:00+00:00,4.810902107859375e-16,,
2025-12-01 07:30:00+00:00,4.802968972987759e-16,13.4505021312,
2025-12-01 07:35:00+00:00,4.873987298115185e-16,,
2025-12-01 07:40:00+00:00,5.00213542350383e-16,,
2025-12-01 07:45:00+00:00,4.845161548105116e-16,13.30891789824,
2025-12-01 07:50:00+00:00,4.757581683907418e-16,,
2025-12-01 07:55:00+00:00,4.821873254101239e-16,,
2025-12-01 08:00:00+00:00,4.897057903933858e-16,13.30891789824,
2025-12-01 08:05:00+00:00,4.852229872513545e-16,,
2025-12-01 08:10:00+00:00,4.835414663683989e-16,,
2025-12-01 08:15:00+00:00,4.831932007102535e-16,13.30891789824,
2025-12-01 08:20:00+00:00,4.836055054316958e-16,,
2025-12-01 08:25:00+00:00,4.952902183300793e-16,,
2025-12-01 08:30:00+00:00,5.318110059136858e-16,13.30891789824,
2025-12-01 08:35:00+00:00,4.928844346936274e-16,,
2025-12-01 08:40:00+00:00,4.844113354542966e-16,,
2025-12-01 08:45:00+00:00,4.740508145949157e-16,13.30891789824,
2025-12-01 08:50:00+00:00,4.68368997967948e-16,,
2025-12-01 08:55:00+00:00,4.721504870833462e-16,,
2025-12-01 09:00:00+00:00,4.85408635974474e-16,13.167333665280001,
2025-12-01 09:05:00+00:00,4.974172843712808e-16,,
2025-12-01 09:10:00+00:00,4.9251287293200485e-16,,
2025-12-01 09:15:00+00:00,4.77259651146205e-16,13.167333665280001,
2025-12-01 09:20:00+00:00,4.677850348885306e-16,,
2025-12-01 09:25:00+00:00,4.755448821081413e-16,,
2025-12-01 09:30:00+00:00,4.833339961388062e-16,13.167333665280001,
2025-12-01 09:35:00+00:00,4.876874122178864e-16,,
2025-12-01 09:40:00+00:00,4.779130901560917e-16,,
2025-12-01 09:45:00+00:00,4.694061311167606e-16,13.02574943232,
2025-12-01 09:50:00+00:00,4.721884291984802e-16,,
2025-12-01 09:55:00+00:00,4.898069697850531e-16,,
2025-12-01 10:00:00+00:00,4.964583132960202e-16,13.30891789824,
2025-12-01 10:05:00+00:00,4.873468074318323e-16,,
2025-12-01 10:10:00+00:00,5.045826550135724e-16,,
2025-12-01 10:15:00+00:00,5.056854473497098e-16,13.167333665280001,
2025-12-01 10:20:00+00:00,5.007782393887861e-16,,
2025-12-01 10:25:00+00:00,5.092665754582733e-16,,
2025-12-01 10:30:00+00:00,5.370641768072114e-16,13.02574943232,
2025-12-01 10:35:00+00:00,5.564934847405047e-16,,
2025-12-01 10:40:00+00:00,5.986389283761831e-16,,
2025-12-01 10:45:00+00:00,5.777621988098181e-16,13.167333665280001,
2025-12-01 10:50:00+00:00,4.997415760066807e-16,,
2025-12-01 10:55:00+00:00,5.192201278262275e-16,,
2025-12-01 11:00:00+00:00,5.263733979459494e-16,13.167333665280001,
2025-12-01 11:05:00+00:00,4.895360583178569e-16,,
2025-12-01 11:10:00+00:00,4.883637511737425e-16,,
2025-12-01 11:15:00+00:00,4.888481835076907e-16,13.30891789824,
2025-12-01 11:20:00+00:00,5.199952135023095e-16,,
2025-12-01 11:25:00+00:00,5.328253245522067e-16,,
2025-12-01 11:30:00+00:00,5.1279910750459495e-16,13.167333665280001,
2025-12-01 11:35:00+00:00,5.347279370955446e-16,,
2025-12-01 11:40:00+00:00,5.26178080819509e-16,,
2025-12-01 11:45:00+00:00,4.947647169021603e-16,13.02574943232,
2025-12-01 11:50:00+00:00,4.983512410649139e-16,,
2025-12-01 11:55:00+00:00,5.000966473550484e-16,,
2025-12-01 12:00:00+00:00,4.881298065292733e-16,13.02574943232,
2025-12-01 12:05:00+00:00,4.854094335565772e-16,,
2025-12-01 12:10:00+00:00,4.933569709517421e-16,,
2025-12-01 12:15:00+00:00,5.043991490259532e-16,13.02574943232,
2025-12-01 12:20:00+00:00,5.011623989600497e-16,,
2025-12-01 12:25:00+00:00,5.023819441633482e-16,,
2025-12-01 12:30:00+00:00,5.229790747305316e-16,13.167333665280001,
2025-12-01 12:35:00+00:00,5.239617713885774e-16,,
2025-12-01 12:40:00+00:00,5.213321533352386e-16,,
2025-12-01 12:45:00+00:00,5.161936661747681e-16,13.02574943232,
